,기업명,채용공고링크,기업정보링크
0,GS네오텍㈜,/Recruit/GI_Read/45249456?Oem_Code=C1&logpath=1&stext=python&listno=1,/Company/1729980/?C_IDX=533
1,에스케이티엔에스,/Recruit/GI_Read/45239177?Oem_Code=C1&logpath=1&stext=python&listno=2,/Company/16152304/?C_IDX=7334
2,㈜아이엠뱅크,/Recruit/GI_Read/45286148?Oem_Code=C1&logpath=1&stext=python&listno=3,/Company/1605852/?C_IDX=109
3,휴먼교육센터,/Recruit/GI_Read/45341120?Oem_Code=C1&logpath=1&stext=python&listno=4,/Recruit/Co_Read/C/24993048?Oem_Code=C1
4,㈜하이미디어아카데미,/Recruit/GI_Read/45349095?Oem_Code=C1&logpath=1&stext=python&listno=5,/Recruit/Co_Read/C/41569190?Oem_Code=C1
5,㈜에임메드,/Recruit/GI_Read/45342224?Oem_Code=C1&logpath=1&stext=python&listno=6,/Company/1439082/?C_IDX=4078
6,이컴라인,/Recruit/GI_Read/45334555?Oem_Code=C1&logpath=1&stext=python&listno=7,/Company/1415574/?C_IDX=2276
7,㈜이컴라인,/Recruit/GI_Read/45334519?Oem_Code=C1&logpath=1&stext=python&listno=8,/Company/1415574/?C_IDX=2276
8,이컴라인,/Recruit/GI_Read/45289030?Oem_Code=C1&logpath=1&stext=python&listno=9,/Company/1415574/?C_IDX=2276
9,㈜넥슨,/Recruit/GI_Read/44924699?Oem_Code=C1&logpath=1&stext=python&listno=10,/Company/1882711/?C_IDX=1599
10,㈜링크제니시스,/Recruit/GI_Read/45344404?Oem_Code=C1&logpath=1&stext=python&listno=11,/Recruit/Co_Read/C/29065?Oem_Code=C1
11,㈜링크제니시스,/Recruit/GI_Read/45315663?Oem_Code=C1&logpath=1&stext=python&listno=12,/Recruit/Co_Read/C/29065?Oem_Code=C1
12,㈜넥슨,/Recruit/GI_Read/45294084?Oem_Code=C1&logpath=1&stext=python&listno=13,/Company/1882711/?C_IDX=1599
13,㈜이글루코퍼레이션,/Recruit/GI_Read/45250402?Oem_Code=C1&logpath=1&stext=python&listno=14,/Company/1447356/?C_IDX=4213
14,㈜이글루코퍼레이션,/Recruit/GI_Read/45244155?Oem_Code=C1&logpath=1&stext=python&listno=15,/Company/1447356/?C_IDX=4213
15,펜타시스템테크놀러지㈜,/Recruit/GI_Read/45242396?Oem_Code=C1&logpath=1&stext=python&listno=16,/Company/1398657/?C_IDX=3812
16,㈜넥슨,/Recruit/GI_Read/45237369?Oem_Code=C1&logpath=1&stext=python&listno=17,/Company/1882711/?C_IDX=1599
17,한국직업전문학교,/Recruit/GI_Read/45103667?Oem_Code=C1&logpath=1&stext=python&listno=18,/Recruit/Co_Read/C/9730?Oem_Code=C1
18,㈜아이티사람들,/Recruit/GI_Read/45347220?Oem_Code=C1&logpath=1&stext=python&listno=19,/Recruit/Co_Read/C/38833?Oem_Code=C1
19,마스코리아㈜,/Recruit/GI_Read/45335102?Oem_Code=C1&logpath=1&stext=python&listno=20,/Recruit/Co_Read/C/27688408?Oem_Code=C1
20,㈜엔시스템,/Recruit/GI_Read/45294466?Oem_Code=C1&logpath=1&stext=python&listno=21,/Recruit/Co_Read/C/19663?Oem_Code=C1
21,C&C; KOREA,/Recruit/GI_Read/45288620?Oem_Code=C1&logpath=1&stext=python&listno=22,/Recruit/Co_Read/C/356988?Oem_Code=C1
22,㈜애드크림,/Recruit/GI_Read/45278448?Oem_Code=C1&logpath=1&stext=python&listno=23,/Recruit/Co_Read/C/147549?Oem_Code=C1
23,㈜한국미용데이터,/Recruit/GI_Read/45163714?Oem_Code=C1&logpath=1&stext=python&listno=24,/Recruit/Co_Read/C/13723738?Oem_Code=C1
24,마스코리아㈜,/Recruit/GI_Read/44927505?Oem_Code=C1&logpath=1&stext=python&listno=25,/Recruit/Co_Read/C/27688408?Oem_Code=C1
25,위쉬정보기술㈜,/Recruit/GI_Read/45357627?Oem_Code=C1&logpath=1&stext=python&listno=26,/Recruit/Co_Read/C/25470?Oem_Code=C1
26,㈜유니포유,/Recruit/GI_Read/45356398?Oem_Code=C1&logpath=1&stext=python&listno=27,/Recruit/Co_Read/C/35268701?Oem_Code=C1
27,㈜뷰브레인헬스케어,/Recruit/GI_Read/45349625?Oem_Code=C1&logpath=1&stext=python&listno=28,/Recruit/Co_Read/C/41882947?Oem_Code=C1
28,인텍솔루션㈜,/Recruit/GI_Read/45348670?Oem_Code=C1&logpath=1&stext=python&listno=29,/Recruit/Co_Read/C/4078?Oem_Code=C1
29,㈜에스메이트,/Recruit/GI_Read/45344480?Oem_Code=C1&logpath=1&stext=python&listno=30,/Recruit/Co_Read/C/67922?Oem_Code=C1
30,㈜에스메이트,/Recruit/GI_Read/45344172?Oem_Code=C1&logpath=1&stext=python&listno=31,/Recruit/Co_Read/C/12984380?Oem_Code=C1
31,㈜퀀텀데이터,/Recruit/GI_Read/45343776?Oem_Code=C1&logpath=1&stext=python&listno=32,/Recruit/Co_Read/C/41861921?Oem_Code=C1
32,㈜필그림소프트,/Recruit/GI_Read/45343428?Oem_Code=C1&logpath=1&stext=python&listno=33,/Recruit/Co_Read/C/27524251?Oem_Code=C1
33,크로스체크,/Recruit/GI_Read/45343098?Oem_Code=C1&logpath=1&stext=python&listno=34,/Recruit/Co_Read/C/40837198?Oem_Code=C1
34,㈜케이씨엠에스,/Recruit/GI_Read/45341837?Oem_Code=C1&logpath=1&stext=python&listno=35,/Recruit/Co_Read/C/1027630?Oem_Code=C1
35,마크클라우드,/Recruit/GI_Read/45340505?Oem_Code=C1&logpath=1&stext=python&listno=36,/Recruit/Co_Read/C/38343240?Oem_Code=C1
36,㈜아이알에스소프트코리아,/Recruit/GI_Read/45340186?Oem_Code=C1&logpath=1&stext=python&listno=37,/Recruit/Co_Read/C/127507?Oem_Code=C1
37,㈜제이투이,/Recruit/GI_Read/45337036?Oem_Code=C1&logpath=1&stext=python&listno=38,/Recruit/Co_Read/C/23533921?Oem_Code=C1
38,㈜유클리드소프트,/Recruit/GI_Read/45332942?Oem_Code=C1&logpath=1&stext=python&listno=39,/Recruit/Co_Read/C/17801715?Oem_Code=C1
39,더조은컴퓨터학원,/Recruit/GI_Read/45324601?Oem_Code=C1&logpath=1&stext=python&listno=40,/Recruit/Co_Read/C/18514032?Oem_Code=C1
40,이그레브,/Recruit/GI_Read/45323646?Oem_Code=C1&logpath=1&stext=python&listno=41,/Recruit/Co_Read/C/31835817?Oem_Code=C1
41,누리꿈소프트㈜,/Recruit/GI_Read/45322989?Oem_Code=C1&logpath=1&stext=python&listno=42,/Recruit/Co_Read/C/1047?Oem_Code=C1
42,㈜티엔블루,/Recruit/GI_Read/45321600?Oem_Code=C1&logpath=1&stext=python&listno=43,/Recruit/Co_Read/C/13491740?Oem_Code=C1
43,마이스터정보기술㈜,/Recruit/GI_Read/45320601?Oem_Code=C1&logpath=1&stext=python&listno=44,/Recruit/Co_Read/C/22018?Oem_Code=C1
44,㈜심네트,/Recruit/GI_Read/45318967?Oem_Code=C1&logpath=1&stext=python&listno=45,/Recruit/Co_Read/C/21103?Oem_Code=C1
45,이투스에듀㈜,/Recruit/GI_Read/45317686?Oem_Code=C1&logpath=1&stext=python&listno=46,/Recruit/Co_Read/C/41785620?Oem_Code=C1
46,㈜레노소프트,/Recruit/GI_Read/45312043?Oem_Code=C1&logpath=1&stext=python&listno=47,/Recruit/Co_Read/C/17192017?Oem_Code=C1
47,㈜에이치앤엘시스템,/Recruit/GI_Read/45310080?Oem_Code=C1&logpath=1&stext=python&listno=48,/Recruit/Co_Read/C/68814?Oem_Code=C1
48,토피아정보기술㈜,/Recruit/GI_Read/45288844?Oem_Code=C1&logpath=1&stext=python&listno=49,/Recruit/Co_Read/C/17125241?Oem_Code=C1
49,토피아정보기술㈜,/Recruit/GI_Read/45288901?Oem_Code=C1&logpath=1&stext=python&listno=50,/Recruit/Co_Read/C/17125241?Oem_Code=C1
50,㈜이빗,/Recruit/GI_Read/45266152?Oem_Code=C1&logpath=1&stext=python&listno=51,/Recruit/Co_Read/C/43619052?Oem_Code=C1
51,블록스퀘어서울,/Recruit/GI_Read/45282161?Oem_Code=C1&logpath=1&stext=python&listno=52,/Recruit/Co_Read/C/37589625?Oem_Code=C1
52,㈜뮤즈블라썸,/Recruit/GI_Read/45276446?Oem_Code=C1&logpath=1&stext=python&listno=53,/Recruit/Co_Read/C/36699620?Oem_Code=C1
53,㈜라인시스템,/Recruit/GI_Read/45273633?Oem_Code=C1&logpath=1&stext=python&listno=54,/Recruit/Co_Read/C/17230181?Oem_Code=C1
54,㈜큐브베리,/Recruit/GI_Read/45272772?Oem_Code=C1&logpath=1&stext=python&listno=55,/Recruit/Co_Read/C/41867528?Oem_Code=C1
55,㈜케파스,/Recruit/GI_Read/45270111?Oem_Code=C1&logpath=1&stext=python&listno=56,/Recruit/Co_Read/C/13175174?Oem_Code=C1
56,㈜에이든랩,/Recruit/GI_Read/45265798?Oem_Code=C1&logpath=1&stext=python&listno=57,/Recruit/Co_Read/C/33159864?Oem_Code=C1
57,㈜엑스오비스,/Recruit/GI_Read/45255418?Oem_Code=C1&logpath=1&stext=python&listno=58,/Recruit/Co_Read/C/9218?Oem_Code=C1
58,올거나이즈코리아㈜,/Recruit/GI_Read/45254175?Oem_Code=C1&logpath=1&stext=python&listno=59,/Recruit/Co_Read/C/29431043?Oem_Code=C1
59,애드인소프트,/Recruit/GI_Read/45248871?Oem_Code=C1&logpath=1&stext=python&listno=60,/Recruit/Co_Read/C/41710621?Oem_Code=C1
60,㈜세종교육,/Recruit/GI_Read/45247671?Oem_Code=C1&logpath=1&stext=python&listno=61,/Recruit/Co_Read/C/189368?Oem_Code=C1
61,㈜리팅랩스,/Recruit/GI_Read/45246453?Oem_Code=C1&logpath=1&stext=python&listno=62,/Recruit/Co_Read/C/29901630?Oem_Code=C1
62,행복쇼핑 주식회사,/Recruit/GI_Read/45241330?Oem_Code=C1&logpath=1&stext=python&listno=63,/Recruit/Co_Read/C/21858255?Oem_Code=C1
63,㈜도스모랩,/Recruit/GI_Read/45237470?Oem_Code=C1&logpath=1&stext=python&listno=64,/Recruit/Co_Read/C/38703369?Oem_Code=C1
64,㈜마인드에이아이,/Recruit/GI_Read/45237428?Oem_Code=C1&logpath=1&stext=python&listno=65,/Recruit/Co_Read/C/25979467?Oem_Code=C1
65,블록스퀘어서울,/Recruit/GI_Read/45234308?Oem_Code=C1&logpath=1&stext=python&listno=66,/Recruit/Co_Read/C/37589625?Oem_Code=C1
66,충북대학교병원,/Recruit/GI_Read/45227366?Oem_Code=C1&logpath=1&stext=python&listno=67,/Recruit/Co_Read/C/40530599?Oem_Code=C1
67,유한회사 에이오엑스코리아,/Recruit/GI_Read/45227234?Oem_Code=C1&logpath=1&stext=python&listno=68,/Recruit/Co_Read/C/43825678?Oem_Code=C1
68,㈜씨에스엠17(CSM17),/Recruit/GI_Read/45223599?Oem_Code=C1&logpath=1&stext=python&listno=69,/Recruit/Co_Read/C/30295733?Oem_Code=C1
69,(주)글로벌아카데미,/Recruit/GI_Read/45220552?Oem_Code=C1&logpath=1&stext=python&listno=70,/Recruit/Co_Read/C/36957344?Oem_Code=C1
70,㈜모아데이타,/Recruit/GI_Read/45216559?Oem_Code=C1&logpath=1&stext=python&listno=71,/Recruit/Co_Read/C/38059509?Oem_Code=C1
71,㈜위존 강남사업장,/Recruit/GI_Read/45214195?Oem_Code=C1&logpath=1&stext=python&listno=72,/Recruit/Co_Read/C/14767?Oem_Code=C1
72,㈜미니레코드,/Recruit/GI_Read/45206205?Oem_Code=C1&logpath=1&stext=python&listno=73,/Recruit/Co_Read/C/19777347?Oem_Code=C1
73,㈜아이니네트웍스,/Recruit/GI_Read/45204631?Oem_Code=C1&logpath=1&stext=python&listno=74,/Recruit/Co_Read/C/16617250?Oem_Code=C1
74,씨앤에프시스템㈜,/Recruit/GI_Read/45204240?Oem_Code=C1&logpath=1&stext=python&listno=75,/Recruit/Co_Read/C/34014?Oem_Code=C1
75,메타빌드㈜,/Recruit/GI_Read/45194880?Oem_Code=C1&logpath=1&stext=python&listno=76,/Recruit/Co_Read/C/20198?Oem_Code=C1
76,노마드코더,/Recruit/GI_Read/45191995?Oem_Code=C1&logpath=1&stext=python&listno=77,/Recruit/Co_Read/C/37255502?Oem_Code=C1
77,㈜에이프로코리아,/Recruit/GI_Read/45186485?Oem_Code=C1&logpath=1&stext=python&listno=78,/Recruit/Co_Read/C/30327208?Oem_Code=C1
78,㈜조인아이티,/Recruit/GI_Read/45178141?Oem_Code=C1&logpath=1&stext=python&listno=79,/Recruit/Co_Read/C/38487707?Oem_Code=C1
79,㈜지에스아이오토모티브,/Recruit/GI_Read/45174678?Oem_Code=C1&logpath=1&stext=python&listno=80,/Recruit/Co_Read/C/35724715?Oem_Code=C1
80,놀이의발견,/Recruit/GI_Read/45165341?Oem_Code=C1&logpath=1&stext=python&listno=81,/Recruit/Co_Read/C/31367742?Oem_Code=C1
81,㈜위키드스톰,/Recruit/GI_Read/45159283?Oem_Code=C1&logpath=1&stext=python&listno=82,/Recruit/Co_Read/C/34698797?Oem_Code=C1
82,퍼솔켈리코리아 유한회사,/Recruit/GI_Read/45154182?Oem_Code=C1&logpath=1&stext=python&listno=83,/Recruit/Co_Read/C/26594125?Oem_Code=C1
83,㈜인스펙터,/Recruit/GI_Read/45142955?Oem_Code=C1&logpath=1&stext=python&listno=84,/Recruit/Co_Read/C/37900754?Oem_Code=C1
84,지엔소프트㈜,/Recruit/GI_Read/45133650?Oem_Code=C1&logpath=1&stext=python&listno=85,/Recruit/Co_Read/C/391931?Oem_Code=C1
85,㈜씨브로드,/Recruit/GI_Read/45133094?Oem_Code=C1&logpath=1&stext=python&listno=86,/Recruit/Co_Read/C/342995?Oem_Code=C1
86,㈜씨에스리,/Recruit/GI_Read/45126307?Oem_Code=C1&logpath=1&stext=python&listno=87,/Recruit/Co_Read/C/33775099?Oem_Code=C1
87,㈜아이알에스소프트코리아,/Recruit/GI_Read/45111855?Oem_Code=C1&logpath=1&stext=python&listno=88,/Recruit/Co_Read/C/127507?Oem_Code=C1
88,PENTAIN,/Recruit/GI_Read/45095745?Oem_Code=C1&logpath=1&stext=python&listno=89,/Recruit/Co_Read/C/16833771?Oem_Code=C1
89,㈜에이젠글로벌,/Recruit/GI_Read/45065811?Oem_Code=C1&logpath=1&stext=python&listno=90,/Recruit/Co_Read/C/19495903?Oem_Code=C1
90,㈜와이엠엑스,/Recruit/GI_Read/44995135?Oem_Code=C1&logpath=1&stext=python&listno=91,/Recruit/Co_Read/C/24641889?Oem_Code=C1
91,㈜디지키,/Recruit/GI_Read/44965786?Oem_Code=C1&logpath=1&stext=python&listno=92,/Recruit/Co_Read/C/27379140?Oem_Code=C1
92,릴랩㈜,/Recruit/GI_Read/45349028?Oem_Code=C1&logpath=1&stext=python&listno=93,/Recruit/Co_Read/C/38998189?Oem_Code=C1
93,㈜페어립에듀,/Recruit/GI_Read/45348267?Oem_Code=C1&logpath=1&stext=python&listno=94,/Recruit/Co_Read/C/34733213?Oem_Code=C1
94,양정인력개발센터,/Recruit/GI_Read/45347398?Oem_Code=C1&logpath=1&stext=python&listno=95,/Recruit/Co_Read/C/303446?Oem_Code=C1
95,㈜케이엘피,/Recruit/GI_Read/45346871?Oem_Code=C1&logpath=1&stext=python&listno=96,/Recruit/Co_Read/C/28162840?Oem_Code=C1
96,㈜케이엘피,/Recruit/GI_Read/45346835?Oem_Code=C1&logpath=1&stext=python&listno=97,/Recruit/Co_Read/C/28162840?Oem_Code=C1
97,(it)개발자클라우드(ai)인공지능빅데이터국비지원학원,/Recruit/GI_Read/45323838?Oem_Code=C1&logpath=1&stext=python&listno=98,/Recruit/Co_Read/C/37186785?Oem_Code=C1
98,㈜퍼브,/Recruit/GI_Read/45339334?Oem_Code=C1&logpath=1&stext=python&listno=99,/Recruit/Co_Read/C/15840412?Oem_Code=C1
99,씨아이랩스,/Recruit/GI_Read/45330750?Oem_Code=C1&logpath=1&stext=python&listno=100,/Recruit/Co_Read/C/37939639?Oem_Code=C1
100,㈜지산인공지능,/Recruit/GI_Read/45318973?Oem_Code=C1&logpath=1&stext=python&listno=101,/Recruit/Co_Read/C/44689913?Oem_Code=C1
101,㈜씨에스엠17(CSM17),/Recruit/GI_Read/45303973?Oem_Code=C1&logpath=1&stext=python&listno=102,/Recruit/Co_Read/C/30295733?Oem_Code=C1
102,㈜3S 소프트,/Recruit/GI_Read/45194345?Oem_Code=C1&logpath=1&stext=python&listno=103,/Recruit/Co_Read/C/12594?Oem_Code=C1
103,㈜자이온아이티에스,/Recruit/GI_Read/45053650?Oem_Code=C1&logpath=1&stext=python&listno=104,/Recruit/Co_Read/C/35969961?Oem_Code=C1
104,엔테크서비스 주식회사,/Recruit/GI_Read/45296077?Oem_Code=C1&logpath=1&stext=python&listno=105,/Company/1373854/?C_IDX=2196
105,㈜고영테크놀러지,/Recruit/GI_Read/45337679?Oem_Code=C1&logpath=1&stext=python&listno=106,/Company/1774734/?C_IDX=5350
106,㈜아이센스,/Recruit/GI_Read/45269672?Oem_Code=C1&logpath=1&stext=python&listno=107,/Company/1766917/?C_IDX=3353
107,로지스올그룹,/Recruit/GI_Read/45261808?Oem_Code=C1&logpath=1&stext=python&listno=108,/Company/1648570/?C_IDX=5768
108,㈜단비교육,/Recruit/GI_Read/45254576?Oem_Code=C1&logpath=1&stext=python&listno=109,/Company/47874382/?C_IDX=9882
109,㈜모트렉스,/Recruit/GI_Read/45335317?Oem_Code=C1&logpath=1&stext=python&listno=110,/Recruit/Co_Read/C/31222?Oem_Code=C1
110,동양생명보험㈜,/Recruit/GI_Read/45311209?Oem_Code=C1&logpath=1&stext=python&listno=111,/Company/1530828/?C_IDX=108
111,"㈜숲(SOOP CO., LTD.)",/Recruit/GI_Read/45332897?Oem_Code=C1&logpath=1&stext=python&listno=112,/Company/1528345/?C_IDX=2414
112,"㈜숲(SOOP CO., LTD.)",/Recruit/GI_Read/45332888?Oem_Code=C1&logpath=1&stext=python&listno=113,/Company/1528345/?C_IDX=2414
113,㈜ 호디,/Recruit/GI_Read/45327826?Oem_Code=C1&logpath=1&stext=python&listno=114,/Company/1926473/?C_IDX=4524
114,㈜아이엠비디엑스,/Recruit/GI_Read/45312947?Oem_Code=C1&logpath=1&stext=python&listno=115,/Recruit/Co_Read/C/27043651?Oem_Code=C1
115,펜타시스템테크놀러지㈜,/Recruit/GI_Read/45298968?Oem_Code=C1&logpath=1&stext=python&listno=116,/Company/1398657/?C_IDX=3812
116,카페24㈜,/Recruit/GI_Read/45236572?Oem_Code=C1&logpath=1&stext=python&listno=117,/Company/1822530/?C_IDX=2172
117,카페24㈜,/Recruit/GI_Read/45236264?Oem_Code=C1&logpath=1&stext=python&listno=118,/Company/1822530/?C_IDX=2172
118,카페24㈜,/Recruit/GI_Read/45235740?Oem_Code=C1&logpath=1&stext=python&listno=119,/Company/1822530/?C_IDX=2172
119,펜타시스템테크놀러지㈜,/Recruit/GI_Read/45218617?Oem_Code=C1&logpath=1&stext=python&listno=120,/Company/1398657/?C_IDX=3812
120,이너버스,/Recruit/GI_Read/45346353?Oem_Code=C1&logpath=1&stext=python&listno=121,/Company/1801561/?C_IDX=3384
121,㈜닷,/Recruit/GI_Read/45343532?Oem_Code=C1&logpath=1&stext=python&listno=122,/Recruit/Co_Read/C/18584793?Oem_Code=C1
122,㈜이엠넷,/Recruit/GI_Read/45312680?Oem_Code=C1&logpath=1&stext=python&listno=123,/Company/1741975/?C_IDX=3387
123,환인제약,/Recruit/GI_Read/45341349?Oem_Code=C1&logpath=1&stext=python&listno=124,/Company/1808058/?C_IDX=1112
124,환인제약,/Recruit/GI_Read/45341145?Oem_Code=C1&logpath=1&stext=python&listno=125,/Company/1808058/?C_IDX=1112
125,카카오뱅크,/Recruit/GI_Read/45338020?Oem_Code=C1&logpath=1&stext=python&listno=126,/Company/1415215/?C_IDX=6243
126,엘지이노텍,/Recruit/GI_Read/45336018?Oem_Code=C1&logpath=1&stext=python&listno=127,/Company/1458432/?C_IDX=139
127,엘지이노텍,/Recruit/GI_Read/45335993?Oem_Code=C1&logpath=1&stext=python&listno=128,/Company/1458432/?C_IDX=139
128,㈜플래티어,/Recruit/GI_Read/45332025?Oem_Code=C1&logpath=1&stext=python&listno=129,/Company/46661113/?C_IDX=9418
129,㈜플래티어,/Recruit/GI_Read/45331923?Oem_Code=C1&logpath=1&stext=python&listno=130,/Company/46661113/?C_IDX=9418
130,티맵모빌리티㈜,/Recruit/GI_Read/45334473?Oem_Code=C1&logpath=1&stext=python&listno=131,/Company/48061523/?C_IDX=9553
131,㈜넥슨,/Recruit/GI_Read/45330817?Oem_Code=C1&logpath=1&stext=python&listno=132,/Company/1882711/?C_IDX=1599
132,㈜넥슨,/Recruit/GI_Read/45330196?Oem_Code=C1&logpath=1&stext=python&listno=133,/Company/1882711/?C_IDX=1599
133,㈜에코마케팅,/Recruit/GI_Read/45307198?Oem_Code=C1&logpath=1&stext=python&listno=134,/Company/16151923/?C_IDX=6952
134,오픈갤러리,/Recruit/GI_Read/45318417?Oem_Code=C1&logpath=1&stext=python&listno=135,/Company/1941107/?C_IDX=5869
135,동국시스템즈㈜,/Recruit/GI_Read/45325535?Oem_Code=C1&logpath=1&stext=python&listno=136,/Company/1516079/?C_IDX=4970
136,㈜넥슨,/Recruit/GI_Read/45324277?Oem_Code=C1&logpath=1&stext=python&listno=137,/Company/1882711/?C_IDX=1599
137,신한투자증권,/Recruit/GI_Read/45322919?Oem_Code=C1&logpath=1&stext=python&listno=138,/Company/1659942/?C_IDX=155
138,신한투자증권,/Recruit/GI_Read/45322909?Oem_Code=C1&logpath=1&stext=python&listno=139,/Company/1659942/?C_IDX=155
139,㈜한화,/Recruit/GI_Read/45322665?Oem_Code=C1&logpath=1&stext=python&listno=140,/Company/1555654/?C_IDX=63
140,신한투자증권,/Recruit/GI_Read/45322334?Oem_Code=C1&logpath=1&stext=python&listno=141,/Company/1659942/?C_IDX=155
141,디어유,/Recruit/GI_Read/45319002?Oem_Code=C1&logpath=1&stext=python&listno=142,/Company/16153087/?C_IDX=8132
142,디어유,/Recruit/GI_Read/45318989?Oem_Code=C1&logpath=1&stext=python&listno=143,/Company/16153087/?C_IDX=8132
143,㈜카카오엔터테인먼트,/Recruit/GI_Read/45319290?Oem_Code=C1&logpath=1&stext=python&listno=144,/Company/16152744/?C_IDX=7779
144,㈜카카오엔터테인먼트,/Recruit/GI_Read/45319274?Oem_Code=C1&logpath=1&stext=python&listno=145,/Company/16152744/?C_IDX=7779
145,㈜에코마케팅,/Recruit/GI_Read/45313902?Oem_Code=C1&logpath=1&stext=python&listno=146,/Company/16151923/?C_IDX=6952
146,㈜커넥트웨이브,/Recruit/GI_Read/45310355?Oem_Code=C1&logpath=1&stext=python&listno=147,/Company/1915672/?C_IDX=3362
147,㈜엔미디어플랫폼,/Recruit/GI_Read/45316090?Oem_Code=C1&logpath=1&stext=python&listno=148,/Recruit/Co_Read/C/81530?Oem_Code=C1
148,모본㈜,/Recruit/GI_Read/45315014?Oem_Code=C1&logpath=1&stext=python&listno=149,/Company/1507705/?C_IDX=5081
149,㈜넥슨,/Recruit/GI_Read/45314635?Oem_Code=C1&logpath=1&stext=python&listno=150,/Company/1882711/?C_IDX=1599
150,LX세미콘,/Recruit/GI_Read/45313797?Oem_Code=C1&logpath=1&stext=python&listno=151,/Company/1786569/?C_IDX=1636
151,베스핀글로벌㈜,/Recruit/GI_Read/45311994?Oem_Code=C1&logpath=1&stext=python&listno=152,/Company/16151809/?C_IDX=6833
152,㈜씨티케이,/Recruit/GI_Read/45310544?Oem_Code=C1&logpath=1&stext=python&listno=153,/Recruit/Co_Read/C/128402?Oem_Code=C1
153,쎄트렉아이,/Recruit/GI_Read/45309955?Oem_Code=C1&logpath=1&stext=python&listno=154,/Company/1455465/?C_IDX=3606
154,카카오뱅크,/Recruit/GI_Read/45305737?Oem_Code=C1&logpath=1&stext=python&listno=155,/Company/1415215/?C_IDX=6243
155,카카오뱅크,/Recruit/GI_Read/45305539?Oem_Code=C1&logpath=1&stext=python&listno=156,/Company/1415215/?C_IDX=6243
156,카카오뱅크,/Recruit/GI_Read/45305123?Oem_Code=C1&logpath=1&stext=python&listno=157,/Company/1415215/?C_IDX=6243
157,㈜케이티클라우드,/Recruit/GI_Read/45304255?Oem_Code=C1&logpath=1&stext=python&listno=158,/Company/48845736/?C_IDX=9805
158,㈜케이티클라우드,/Recruit/GI_Read/45304186?Oem_Code=C1&logpath=1&stext=python&listno=159,/Company/48845736/?C_IDX=9805
159,이타스코리아㈜,/Recruit/GI_Read/45302104?Oem_Code=C1&logpath=1&stext=python&listno=160,/Recruit/Co_Read/C/13483539?Oem_Code=C1
160,㈜벡터코리아 (Vector Korea),/Recruit/GI_Read/45301049?Oem_Code=C1&logpath=1&stext=python&listno=161,/Company/1415259/?C_IDX=2161
161,코웨이㈜,/Recruit/GI_Read/45299603?Oem_Code=C1&logpath=1&stext=python&listno=162,/Company/1601608/?C_IDX=192
162,코웨이㈜,/Recruit/GI_Read/45299586?Oem_Code=C1&logpath=1&stext=python&listno=163,/Company/1601608/?C_IDX=192
163,코웨이㈜,/Recruit/GI_Read/45299243?Oem_Code=C1&logpath=1&stext=python&listno=164,/Company/1601608/?C_IDX=192
164,㈜스마일게이트홀딩스,/Recruit/GI_Read/45297477?Oem_Code=C1&logpath=1&stext=python&listno=165,/Company/16152306/?C_IDX=7336
165,㈜다날,/Recruit/GI_Read/45295499?Oem_Code=C1&logpath=1&stext=python&listno=166,/Company/1732932/?C_IDX=2130
166,11번가㈜,/Recruit/GI_Read/45295988?Oem_Code=C1&logpath=1&stext=python&listno=167,/Company/16152671/?C_IDX=7706
167,㈜넥슨,/Recruit/GI_Read/45294098?Oem_Code=C1&logpath=1&stext=python&listno=168,/Company/1882711/?C_IDX=1599
